Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,score,rank
4020204877254599680,1.0,1.0,0.3748479933734043,2.8949811248987105e-74,0.4104365369958005,1993.0,6050.0,0.666013252374261,1.0
3999240873283311617,0.6511447681513157,0.6511447681513157,0.48815463589653574,5.461102800785048e-78,0.6518959349229365,2366.0,4522.0,0.5209501431548245,2.0
3943533600390906881,0.17437919194628082,0.17437919194628085,0.6291634873831752,1.0,0.6828185092014512,964.0,1759.0,0.4400231039672346,3.0
3986814617275053313,0.3400789741937344,0.3400789741937344,0.629568552748269,5.461102800785048e-78,0.9745889052500252,2780.0,3554.0,0.41041603688121026,4.0
4021669203289716224,0.45970438568383487,0.45970438568383487,0.5131699395200126,5.461102800785048e-78,0.39111279304539287,528.0,1682.0,0.39458267933465097,5.0
3907081197088384000,0.35997967701696665,0.35997967701696665,0.47670404508918196,2.8067516796192654e-19,0.7649662705151455,2540.0,4137.0,0.3698262584286826,6.0
3960874214179953664,0.37837393887195964,0.37837393887195964,0.476040876715392,5.461421815371856e-78,0.642506596844859,1233.0,2391.0,0.3675645014071421,7.0
4028701921959171840,0.35506423061627906,0.355064230616279,0.48026223456171496,2.9669012324054267e-63,0.67646633027209,373.0,687.0,0.35898440677850546,8.0
3891020560590657281,0.18024643759397319,0.18024643759397319,0.8390679356271399,5.461102737835986e-78,0.8068616781359012,283.0,437.0,0.34763529561570333,9.0
4037121179310444801,0.23219490184530095,0.23219490184530095,0.7853710296533684,0.0,0.6030463643732958,772.0,1595.0,0.3450860383829188,10.0
4041860229502600193,0.1739750381170573,0.1739750381170573,1.0,5.457683403190542e-78,0.4880967916332656,38.0,97.0,0.34449595012770806,11.0
4022565861939831809,0.3147085177222297,0.31470851772222963,0.5048619048395127,4.823182625765292e-62,0.6574275710822977,372.0,705.0,0.33980482282335855,12.0
3956076827719377409,0.345444407472006,0.34544440747200594,0.40738252406675973,2.7108037754898204e-42,0.6423736624632655,2019.0,3916.0,0.3357082951692818,13.0
4021243448368889856,0.16414473458360387,0.16414473458360387,0.9582919981297897,5.461102628907066e-78,0.471600436387548,2290.0,6050.0,0.3290980472856949,14.0
4008711265867865600,0.28033953094524233,0.28033953094524233,0.5994298185943536,1.96396070579898e-43,0.5249355155542909,166.0,394.0,0.3265662572941831,15.0
4037282461943784704,0.2028210170795486,0.2028210170795486,0.866950374281683,5.46110280059376e-78,0.33620367978414994,136.0,504.0,0.31856200222850334,16.0
3886752488982104320,0.23168813628844365,0.23168813628844362,0.4762404868698829,5.2234639050788994e-59,0.928712590325425,931.0,1249.0,0.31554783136516307,17.0
3999845462424248576,0.2156585306076049,0.21565853060760487,0.6804178435623747,5.461102809226466e-78,0.5418561912827942,1443.0,3318.0,0.308881379674937,18.0
4030635536196756737,0.17698975804809225,0.17698975804809222,0.7218422634422761,8.918977850263491e-72,0.6537769256353569,679.0,1294.0,0.30709051217844163,19.0
3788465932399412480,0.31190326418601505,0.31190326418601505,0.3984454393755326,2.184943789412476e-28,0.5557771025308795,1369.0,3069.0,0.30681359343050274,20.0
